target	mode	pn_exit	em_exit	pn_actions	em_actions	pn_completed	em_completed	pn_vdb	em_vdb	vdb_delta	seconds
app-shells/liquidprompt	--build	OK	OK	3	1	4	1	1	1	=	41
app-shells/bash-completion	--build	OK	OK	9	3	10	3	3	3	=	92
app-shells/mksh	--build	OK	OK	3	1	4	1	1	1	=	57
app-misc/weggli	--build	OK	OK	11	4	12	4	4	4	=	238
app-i18n/jfbterm	--build	FAIL(3)	FAIL(1)	68	3	42	15	12	15	-3	802
app-text/asciidoc	--build	OK	OK	3	1	4	1	1	1	=	44
app-text/bact	--build	OK	OK	3	1	4	1	1	1	=	41
app-text/delta	--build	OK	OK	3	1	4	1	1	1	=	33
app-text/dos2unix	--build	OK	OK	3	1	4	1	1	1	=	38
app-portage/eix	--build	OK	OK	9	3	10	3	3	3	=	252
app-text/html2text	--build	OK	OK	3	1	4	1	1	1	=	52
app-shells/zoxide	--build	OK	OK	11	4	12	4	4	4	=	211
app-misc/yq	--build	OK	OK	26	9	27	9	9	9	=	397
app-shells/zsh	--build	OK	OK	3	1	4	1	1	1	=	221
app-text/liblangtag	--build	OK	OK	3	1	4	1	1	1	=	52
app-misc/sonypid	--build	OK	OK	38	13	38	13	13	13	=	519
app-text/an	--build	OK	OK	9	3	10	3	3	3	=	270
app-text/pinfo	--build	OK	OK	3	1	4	1	1	1	=	59
app-text/t1utils	--build	OK	OK	3	1	4	1	1	1	=	35
app-misc/tmuxp	--build	OK	OK	20	7	21	7	7	7	=	536
app-text/teseq	--build	OK	OK	3	1	4	1	1	1	=	38
app-text/wgetpaste	--build	OK	OK	3	1	4	1	1	1	=	36
app-text/vilistextum	--build	FAIL(3)	FAIL(1)	3	1	1	0	0	0	=	38
app-portage/kuroneko	--build	OK	OK	17	6	18	6	6	6	=	485
app-shells/kshdb	--build	OK	OK	6	2	7	2	2	2	=	458
app-shells/fish	--build	FAIL(3)	OK	71	16	18	16	1	16	-15	498
app-vim/gtk-syntax	--build	OK	OK	21	7	22	7	7	7	=	397
app-vim/ansiesc	--build	OK	OK	24	8	25	8	8	8	=	419
app-vim/pydoc	--build	OK	FAIL(1)	22	?	22	0	7	0	+7	398
app-shells/posh-z	--build	FAIL(3)	FAIL(1)	34	3	15	6	4	6	-2	740
app-vim/vim-spell-es	--build	OK	OK	3	1	4	1	1	1	=	40
app-vim/vim-spell-pl	--build	OK	OK	3	1	4	1	1	1	=	41
app-xemacs/cc-mode	--build	FAIL(3)	FAIL(1)	39	1	14	2	1	2	-1	48
app-vim/repeat	--build	OK	OK	21	7	22	7	7	7	=	409
app-xemacs/ecb	--build	FAIL(3)	FAIL(1)	168	1	57	2	1	2	-1	50
app-xemacs/edebug	--build	FAIL(3)	FAIL(1)	138	1	47	2	1	2	-1	50
app-text/extract_url	--build	OK	OK	60	22	61	22	22	22	=	732
app-xemacs/fortran-modes	--build	FAIL(3)	FAIL(1)	27	1	10	2	1	2	-1	50
app-xemacs/guided-tour	--build	FAIL(3)	FAIL(1)	27	1	10	2	1	2	-1	51
app-xemacs/lookup	--build	FAIL(3)	FAIL(1)	30	1	11	2	1	2	-1	52
app-xemacs/mule-base	--build	FAIL(3)	FAIL(1)	24	1	9	2	1	2	-1	51
app-xemacs/sh-script	--build	FAIL(3)	FAIL(1)	27	1	10	2	1	2	-1	49
app-xemacs/skk	--build	FAIL(3)	FAIL(1)	33	1	12	2	1	2	-1	49
app-vim/snipmate	--build	OK	OK	27	9	28	9	9	9	=	452
app-xemacs/supercite	--build	FAIL(3)	FAIL(1)	39	1	14	2	1	2	-1	41
app-vim/screen	--build	OK	OK	26	9	27	9	9	9	=	497
app-xemacs/text-modes	--build	FAIL(3)	FAIL(1)	30	1	11	2	1	2	-1	38
app-xemacs/view-process	--build	FAIL(3)	FAIL(1)	27	1	10	2	1	2	-1	38
dev-build/boost-m4	--build	OK	OK	3	1	4	1	1	1	=	34
app-text/rpl	--build	OK	OK	18	7	19	7	7	7	=	683
app-misc/recoll	--build	FAIL(3)	FAIL(1)	15	0	6	2	1	2	-1	1322
dev-cpp/tomlplusplus	--build	OK	OK	3	1	4	1	1	1	=	46
dev-cpp/jwt-cpp	--build	OK	OK	9	3	10	3	3	3	=	69
dev-db/libiodbc	--build	FAIL(3)	FAIL(1)	3	1	1	0	0	0	=	85
dev-embedded/avr-libc	--build	FAIL(3)	FAIL(1)	9	?	6	0	2	0	+2	69
app-misc/brewtarget	--build	FAIL(3)	FAIL(1)	179	?	114	0	33	0	+33	1719
dev-embedded/lpc21isp	--build	OK	OK	3	1	4	1	1	1	=	32
app-vim/txtfmt	--build	OK	OK	21	7	22	7	7	7	=	382
app-text/highlight	--build	OK	OK	13	5	14	5	5	5	=	985
dev-db/recutils	--build	OK	OK	3	1	4	1	1	1	=	200
dev-embedded/uisp	--build	OK	OK	3	1	4	1	1	1	=	51
dev-embedded/avrdude	--build	FAIL(3)	FAIL(1)	18	0	11	4	4	4	=	98
dev-debug/drgn	--build	OK	OK	9	3	10	3	3	3	=	236
